Keycode,Name
1,Escape
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,0
12,Minus
13,Equals
14,Delete
15,Tab
16,Q
17,W
18,E
19,R
20,T
21,Y
22,U
23,I
24,O
25,P
26,Left Bracket
27,Right Bracket
28,Return
29,Left Control
30,A
31,S
32,D
33,F
34,G
35,H
36,J
37,K
38,L
39,Semicolon
40,Quote
41,Grave
42,Left Shift
43,Backslash
44,Z
45,X
46,C
47,V
48,B
49,N
50,M
51,Comma
52,Period
53,Slash
54,Right Shift
55,
56,Left Alt
57,
58,Caps Lock
59,F1
60,F2
61,F3
62,F4
63,F5
64,F6
65,F7
66,F8
67,F9
68,F10
69,Pause
70,Scroll Lock
87,F11
88,F12
157,Right Control
183,Print Screen
184,Right Alt
199,Home
200,Up
201,Page Up
203,Left
205,Right
207,End
208,Down
209,Page Down
210,Insert
211,Delete Forward
219,Left GUI
220,Right GUI
